longitude,latitude,elevation
-117.65242770568463,34.632337463233306,886.0
-117.65242770568463,34.62335431039211,871.0
-117.65242770568463,34.61437115755091,880.0
-117.65242770568463,34.60538800470972,890.0
-117.65242770568463,34.59640485186852,894.0
-117.65242770568463,34.587421699027324,908.0
-117.6569192821052,34.578438546186135,915.0
-117.65242770568463,34.56945539334494,926.0
-117.65242770568463,34.56047224050374,936.0
-117.65242770568463,34.551489087662546,937.0
-117.65242770568463,34.54250593482135,947.0
-117.65242770568463,34.53352278198015,957.0
-117.65242770568463,34.52453962913896,967.0
-117.65242770568463,34.51555647629777,980.0
-117.65242770568463,34.50657332345657,998.0
-117.65242770568463,34.497590170615375,1036.0
-117.65242770568463,34.48860701777418,1048.0
-117.65242770568463,34.47962386493298,1073.0
-117.65242770568463,34.470640712091786,1097.0
-117.65242770568463,34.4526744064094,1162.0
-117.65242770568463,34.443691253568204,1202.0
-117.65242770568463,34.43470810072701,1267.0
-117.65242770568463,34.42572494788581,1319.0
-117.65242770568463,34.416741795044615,1403.0
-117.65242770568463,34.40775864220342,1485.0
-117.65242770568463,34.39877548936223,1590.0
-117.65242770568463,34.38979233652103,1741.0
-117.65242770568463,34.38080918367984,2203.0
-117.65242770568463,34.37182603083864,1950.0
-117.65242770568463,34.2640281967443,2385.0
-117.65242770568463,34.2550450439031,2040.0
-117.65242770568463,34.246061891061906,1702.0
-117.65242770568463,34.23707873822071,1294.0
-117.65242770568463,34.22809558537952,1393.0
-117.65242770568463,34.219112432538324,1505.0
-117.65242770568463,34.21012927969713,1562.0
-117.65242770568463,34.20114612685593,1725.0
-117.65242770568463,34.192162974014735,1558.0
-117.65242770568463,34.18317982117354,1217.0
-117.65242770568463,34.17419666833235,1187.0
-117.65242770568463,34.16521351549115,1066.0
-117.65242770568463,34.15623036264996,748.0
-117.65242770568463,34.14724720980876,540.0
-117.65242770568463,34.138264056967564,507.0
-117.65242770568463,34.12928090412637,489.0
-117.65242770568463,34.12029775128518,458.0
-117.65242770568463,34.11131459844398,413.0
-117.65242770568463,34.102331445602786,406.0
-117.65242770568463,34.09334829276159,379.0
-117.65242770568463,34.08436513992039,357.0
-117.65242770568463,34.0753819870792,345.0
-117.65242770568463,34.066398834238,325.0
-117.65242770568463,34.05741568139681,304.0
-117.65242770568463,34.048432528555615,289.0
-117.65242770568463,34.03944937571442,263.0
-117.65242770568463,34.03046622287322,252.0
-117.65242770568463,34.021483070032026,240.0
-117.65242770568463,34.01249991719083,226.0
-117.65242770568463,34.00351676434964,217.0
-117.65242770568463,33.994533611508444,208.0
-117.65242770568463,33.98555045866725,193.0
-117.65242770568463,33.97656730582605,185.0
-117.65018191747433,33.951863635512765,174.0
-117.65242770568463,33.93165154162008,178.0
-117.64344455284342,35.701332651335534,648.0
-117.64344455284342,35.68336634565314,658.0
-117.64344455284342,34.8209836728984,930.0
-117.64344455284342,34.812000520057204,910.0
-117.64344455284342,34.803017367216015,908.0
-117.64344455284342,34.79403421437482,909.0
-117.64344455284342,34.78505106153362,896.0
-117.64344455284342,34.77157633227183,889.0
-117.64344455284342,34.75810160301003,895.0
-117.64344455284342,34.749118450168844,895.0
-117.64344455284342,34.74013529732765,901.0
-117.64344455284342,34.73115214448645,903.0
-117.64344455284342,34.722168991645255,895.0
-117.64344455284342,34.71318583880406,885.0
-117.64344455284342,34.70420268596286,884.0
-117.64344455284342,34.695219533121666,886.0
-117.64344455284342,34.68623638028048,891.0
-117.64344455284342,34.67725322743928,900.0
-117.64344455284342,34.668270074598084,893.0
-117.64344455284342,34.65928692175689,877.0
-117.64344455284342,34.65030376891569,875.0
-117.64344455284342,34.6368290396539,868.0
-117.64344455284342,34.62335431039211,868.0
-117.64344455284342,34.61437115755091,881.0
-117.64344455284342,34.60538800470972,889.0
-117.64344455284342,34.59640485186852,936.0
-117.64344455284342,34.578438546186135,917.0
-117.64344455284342,34.56047224050374,938.0
-117.64344455284342,34.551489087662546,943.0
-117.64344455284342,34.54250593482135,942.0
-117.64344455284342,34.53352278198015,956.0
-117.64344455284342,34.52453962913896,969.0
-117.64344455284342,34.51555647629777,984.0
-117.64344455284342,34.50657332345657,1003.0
-117.64344455284342,34.497590170615375,1040.0
-117.64344455284342,34.48860701777418,1050.0
-117.64344455284342,34.47962386493298,1068.0
-117.64793612926402,34.4616575592506,1123.0
-117.64344455284342,34.4526744064094,1149.0
-117.64344455284342,34.443691253568204,1189.0
