GEOID,impervious
060376503003,0.0
060376503005,0.0
060376512222,0.0
060376513026,0.0
060374081331,0.0
060376513021,0.0
060376513022,0.0
060376513023,0.0
060373103002,0.0
060373104001,0.0
060373104002,0.0
060374083031,0.0
060374084011,0.0
060374084012,0.0
060376700011,0.0
060376700012,0.0
060376700022,0.0
060376700031,0.0
060375433213,0.0
060730124022,0.0
060530141104,0.0
060530141102,0.0
061070004013,0.0
060990040001,0.0
060990025033,0.0
060990001011,0.0
060990032012,0.0
060590995102,0.0
060590995114,0.0
060590111012,0.0
061070039022,0.0
061070039023,0.0
061070040001,0.0
060730101071,0.0
060730101072,0.0
060730101073,0.0
060730101101,0.0
060730101102,0.0
060730101104,0.0
060730101105,0.0
060133451021,0.0
060730117004,0.0
060730118011,0.0
060650456123,0.0
060730118012,0.0
060730117003,0.0
060730118021,0.0
060730118022,0.0
060730119021,0.0
060871104011,0.0
060871105031,0.0
060871217011,0.0
060871209011,0.0
060871216011,0.0
060871217021,0.0
060871103012,0.0
060871101022,0.0
060590627023,0.0
061070041021,0.0
060730101121,0.0
060730101111,0.0
060730103004,0.0
061070042002,0.0
060730119022,0.0
060730119024,0.0
060730120021,0.0
060730120022,0.0
060730120032,0.0
060730121011,0.0
060730121021,0.0
060730121022,0.0
060730122002,0.0
060730123021,0.0
060730123031,0.0
060730123032,0.0
060730123041,0.0
060730104021,0.0
060730104022,0.0
060730105011,0.0
060730104011,0.0
060730105021,0.0
060730105022,0.0
060730105023,0.0
060730124011,0.0
060730124012,0.0
060730124021,0.0
060376700032,0.0
060376700033,0.0
060376700034,0.0
060070001044,0.0
060730123042,0.0
060730126003,0.0
060730131021,0.0
060730131031,0.0
060730131032,0.0
060730131041,0.0
060730131043,0.0
060730132031,0.0
060590747023,0.0
060070024021,0.0
060070024012,0.0
060070016011,0.0
060070016021,0.0
060070016022,0.0
060070024023,0.0
060070004042,0.0
060070024011,0.0
060070004041,0.0
060070001032,0.0
060070004031,0.0
060070016012,0.0
060371114022,0.0
060371113032,0.0
060371043211,0.0
060371043222,0.0
060371081022,0.0
060371082032,0.0
060373201012,0.0
060373201011,0.0
060371061142,0.0
060379201212,0.0
060377009011,0.0
060377009014,0.0
060377009021,0.0
060377009022,0.0
060377009023,0.0
