Unnamed: 0,GEOID,Longitude,Latitude,LST_Celsius,impervious,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
0,60710005042,-117.6717129,34.00467849,45.48966102,53.391304347826086,Block Group 2; Census Tract 5.04; San Bernardino County; California,1498,1498,0,100.0
687,60710001214,-117.6627686,33.92616193,44.58152542,23.875,Block Group 4; Census Tract 1.21; San Bernardino County; California,2172,2172,0,100.0
688,60710001202,-117.6997961,33.97283969,43.31033333,39.9,Block Group 2; Census Tract 1.20; San Bernardino County; California,1679,1679,0,100.0
689,60710097221,-117.258655,34.53363622,47.28034483,25.352941176470587,Block Group 1; Census Tract 97.22; San Bernardino County; California,1634,1634,0,100.0
690,60710095011,-117.0135657,34.89595856,48.31070175,63.4375,Block Group 1; Census Tract 95.01; San Bernardino County; California,1413,1413,0,100.0
691,60710097272,-117.2168123,34.53339682,47.277,23.642857142857142,Block Group 2; Census Tract 97.27; San Bernardino County; California,2415,2415,0,100.0
692,60710099131,-117.2999738,34.50645539,47.53909091,32.69565217391305,Block Group 1; Census Tract 99.13; San Bernardino County; California,2138,2138,0,100.0
693,60710099162,-117.3294185,34.5323267,48.80074074,27.193548387096776,Block Group 2; Census Tract 99.16; San Bernardino County; California,2963,2963,0,100.0
694,60710099182,-117.3386471,34.52476974,48.32444444,35.78260869565217,Block Group 2; Census Tract 99.18; San Bernardino County; California,2241,2241,0,100.0
695,60710100401,-117.2660022,34.49857562,44.37758621,31.03333333333333,Block Group 1; Census Tract 100.40; San Bernardino County; California,3287,3287,0,100.0
696,60710097231,-117.2392034,34.51139633,47.55385965,28.571428571428573,Block Group 1; Census Tract 97.23; San Bernardino County; California,1137,1137,0,100.0
697,60710097182,-117.243277,34.45109079,46.56645161,20.318181818181817,Block Group 2; Census Tract 97.18; San Bernardino County; California,2147,2147,0,100.0
698,60710097241,-117.2290143,34.49308089,47.67733333,25.30864197530864,Block Group 1; Census Tract 97.24; San Bernardino County; California,2927,2927,0,100.0
699,60710091311,-117.4051515,34.58289904,49.37689655,23.133333333333333,Block Group 1; Census Tract 91.31; San Bernardino County; California,1141,1141,0,100.0
700,60710099141,-117.3322527,34.50671033,48.13357143,61.064516129032256,Block Group 1; Census Tract 99.14; San Bernardino County; California,1571,1571,0,100.0
701,60710100361,-117.3297017,34.48145133,47.61338983,42.88333333333333,Block Group 1; Census Tract 100.36; San Bernardino County; California,2470,2470,0,100.0
702,60710097242,-117.2114593,34.49326004,47.22258065,24.303030303030305,Block Group 2; Census Tract 97.24; San Bernardino County; California,1371,1371,0,100.0
703,60710091273,-117.3595478,34.52604764,48.83421053,65.6,Block Group 3; Census Tract 91.27; San Bernardino County; California,2261,2261,0,100.0
704,60710082011,-117.1745815,34.0505907,42.48076923,59.0,Block Group 1; Census Tract 82.01; San Bernardino County; California,1206,1206,0,100.0
705,60710099063,-117.368713,34.4812876,47.83241379,50.07142857142857,Block Group 3; Census Tract 99.06; San Bernardino County; California,1717,1717,0,100.0
706,60710097201,-117.2037853,34.4784198,48.34,24.105263157894736,Block Group 1; Census Tract 97.20; San Bernardino County; California,1743,1743,0,100.0
707,60710099142,-117.3407642,34.51043304,48.78666667,31.33333333333333,Block Group 2; Census Tract 99.14; San Bernardino County; California,1777,1777,0,100.0
708,60710109053,-117.1972403,34.27542552,31.79384615,3.7142857142857135,Block Group 3; Census Tract 109.05; San Bernardino County; California,721,721,0,100.0
709,60710079061,-117.168085,34.12461769,43.57694444,34.0,Block Group 1; Census Tract 79.06; San Bernardino County; California,1548,1548,0,100.0
710,60710109043,-117.2313105,34.24863292,29.69388889,12.05,Block Group 3; Census Tract 109.04; San Bernardino County; California,1006,1006,0,100.0
711,60710109032,-117.2022111,34.25487874,28.06648649,7.408163265306122,Block Group 2; Census Tract 109.03; San Bernardino County; California,735,735,0,100.0
712,60710109052,-117.1914852,34.26604364,29.56827586,6.604651162790698,Block Group 2; Census Tract 109.05; San Bernardino County; California,552,552,0,100.0
713,60710108052,-117.3101312,34.24071616,30.33472222,1.3333333333333333,Block Group 2; Census Tract 108.05; San Bernardino County; California,1198,1198,0,100.0
714,60710100321,-117.3019691,34.3931739,46.85,17.894736842105264,Block Group 1; Census Tract 100.32; San Bernardino County; California,2490,2490,0,100.0
715,60710045121,-117.3380812,34.19601404,44.29297297,20.740384615384617,Block Group 1; Census Tract 45.12; San Bernardino County; California,3050,3050,0,100.0
716,60710074111,-117.2351868,34.15576469,45.6357971,24.566666666666663,Block Group 1; Census Tract 74.11; San Bernardino County; California,1729,1729,0,100.0
