GEOID,Geographic Area Name,Total,Total_Urban,Total_Rural,PercentageUrban
60710008183,Block Group 3; Census Tract 8.18; San Bernardino County; California,1679,1679,0,100
60710008184,Block Group 4; Census Tract 8.18; San Bernardino County; California,1160,1160,0,100
60710008191,Block Group 1; Census Tract 8.19; San Bernardino County; California,909,909,0,100
60710008192,Block Group 2; Census Tract 8.19; San Bernardino County; California,2328,2328,0,100
60710008193,Block Group 3; Census Tract 8.19; San Bernardino County; California,2281,2281,0,100
60710008201,Block Group 1; Census Tract 8.20; San Bernardino County; California,1682,1682,0,100
60710008202,Block Group 2; Census Tract 8.20; San Bernardino County; California,1112,1112,0,100
60710008203,Block Group 3; Census Tract 8.20; San Bernardino County; California,1185,1185,0,100
60710008211,Block Group 1; Census Tract 8.21; San Bernardino County; California,2845,2845,0,100
60710008212,Block Group 2; Census Tract 8.21; San Bernardino County; California,2084,2084,0,100
60710008231,Block Group 1; Census Tract 8.23; San Bernardino County; California,1586,1586,0,100
60710008232,Block Group 2; Census Tract 8.23; San Bernardino County; California,2204,2204,0,100
60710008233,Block Group 3; Census Tract 8.23; San Bernardino County; California,1422,1422,0,100
60710008234,Block Group 4; Census Tract 8.23; San Bernardino County; California,1627,1627,0,100
60710008241,Block Group 1; Census Tract 8.24; San Bernardino County; California,1236,1236,0,100
60710008242,Block Group 2; Census Tract 8.24; San Bernardino County; California,1622,1622,0,100
60710008243,Block Group 3; Census Tract 8.24; San Bernardino County; California,1059,1059,0,100
60710008244,Block Group 4; Census Tract 8.24; San Bernardino County; California,1388,1388,0,100
60710008251,Block Group 1; Census Tract 8.25; San Bernardino County; California,1065,1065,0,100
60710008252,Block Group 2; Census Tract 8.25; San Bernardino County; California,2387,2387,0,100
60710008253,Block Group 3; Census Tract 8.25; San Bernardino County; California,859,859,0,100
60710008261,Block Group 1; Census Tract 8.26; San Bernardino County; California,1309,1309,0,100
60710008262,Block Group 2; Census Tract 8.26; San Bernardino County; California,1311,1311,0,100
60710008263,Block Group 3; Census Tract 8.26; San Bernardino County; California,1563,1563,0,100
60710009011,Block Group 1; Census Tract 9.01; San Bernardino County; California,1699,1699,0,100
60710009012,Block Group 2; Census Tract 9.01; San Bernardino County; California,1712,1712,0,100
60710009013,Block Group 3; Census Tract 9.01; San Bernardino County; California,1501,1501,0,100
60710009031,Block Group 1; Census Tract 9.03; San Bernardino County; California,990,990,0,100
60710009032,Block Group 2; Census Tract 9.03; San Bernardino County; California,1794,1794,0,100
60710009033,Block Group 3; Census Tract 9.03; San Bernardino County; California,1599,1599,0,100
60710009041,Block Group 1; Census Tract 9.04; San Bernardino County; California,2603,2603,0,100
60710009042,Block Group 2; Census Tract 9.04; San Bernardino County; California,1324,1324,0,100
60710010011,Block Group 1; Census Tract 10.01; San Bernardino County; California,1987,1987,0,100
60710010012,Block Group 2; Census Tract 10.01; San Bernardino County; California,1796,1796,0,100
60710010013,Block Group 3; Census Tract 10.01; San Bernardino County; California,1286,1286,0,100
60710010021,Block Group 1; Census Tract 10.02; San Bernardino County; California,1430,1430,0,100
60710010022,Block Group 2; Census Tract 10.02; San Bernardino County; California,1374,1374,0,100
60710010023,Block Group 3; Census Tract 10.02; San Bernardino County; California,940,940,0,100
60710010024,Block Group 4; Census Tract 10.02; San Bernardino County; California,1539,1539,0,100
60710011011,Block Group 1; Census Tract 11.01; San Bernardino County; California,1210,1210,0,100
60710011012,Block Group 2; Census Tract 11.01; San Bernardino County; California,1656,1656,0,100
60710011013,Block Group 3; Census Tract 11.01; San Bernardino County; California,1295,1295,0,100
60710011031,Block Group 1; Census Tract 11.03; San Bernardino County; California,1647,1647,0,100
60710011032,Block Group 2; Census Tract 11.03; San Bernardino County; California,1242,1242,0,100
60710011033,Block Group 3; Census Tract 11.03; San Bernardino County; California,1224,1224,0,100
60710011041,Block Group 1; Census Tract 11.04; San Bernardino County; California,2097,2097,0,100
60710011042,Block Group 2; Census Tract 11.04; San Bernardino County; California,1010,1010,0,100
60710011043,Block Group 3; Census Tract 11.04; San Bernardino County; California,2231,2231,0,100
60710012001,Block Group 1; Census Tract 12; San Bernardino County; California,1498,1498,0,100
60710012002,Block Group 2; Census Tract 12; San Bernardino County; California,1317,1317,0,100
60710012003,Block Group 3; Census Tract 12; San Bernardino County; California,1127,1127,0,100
60710012004,Block Group 4; Census Tract 12; San Bernardino County; California,786,786,0,100
60710013051,Block Group 1; Census Tract 13.05; San Bernardino County; California,2213,2213,0,100
60710013052,Block Group 2; Census Tract 13.05; San Bernardino County; California,1756,1756,0,100
60710013053,Block Group 3; Census Tract 13.05; San Bernardino County; California,1318,1318,0,100
60710013071,Block Group 1; Census Tract 13.07; San Bernardino County; California,2343,2343,0,100
60710013072,Block Group 2; Census Tract 13.07; San Bernardino County; California,1623,1623,0,100
60710013081,Block Group 1; Census Tract 13.08; San Bernardino County; California,2651,2651,0,100
60710013082,Block Group 2; Census Tract 13.08; San Bernardino County; California,2292,2292,0,100
60710013091,Block Group 1; Census Tract 13.09; San Bernardino County; California,1895,1895,0,100
60710013092,Block Group 2; Census Tract 13.09; San Bernardino County; California,1278,1278,0,100
60710013093,Block Group 3; Census Tract 13.09; San Bernardino County; California,1399,1399,0,100
60710013101,Block Group 1; Census Tract 13.10; San Bernardino County; California,1589,1589,0,100
60710013102,Block Group 2; Census Tract 13.10; San Bernardino County; California,1527,1527,0,100
60710013103,Block Group 3; Census Tract 13.10; San Bernardino County; California,1485,1485,0,100
60710013104,Block Group 4; Census Tract 13.10; San Bernardino County; California,999,999,0,100
60710013111,Block Group 1; Census Tract 13.11; San Bernardino County; California,2094,2094,0,100
60710013112,Block Group 2; Census Tract 13.11; San Bernardino County; California,1558,1558,0,100
60710013121,Block Group 1; Census Tract 13.12; San Bernardino County; California,1407,1407,0,100
60710013122,Block Group 2; Census Tract 13.12; San Bernardino County; California,1135,1135,0,100
60710013123,Block Group 3; Census Tract 13.12; San Bernardino County; California,3323,3323,0,100
60710014001,Block Group 1; Census Tract 14; San Bernardino County; California,1499,1499,0,100
60710014002,Block Group 2; Census Tract 14; San Bernardino County; California,1759,1759,0,100
60710015011,Block Group 1; Census Tract 15.01; San Bernardino County; California,2538,2538,0,100
60710015012,Block Group 2; Census Tract 15.01; San Bernardino County; California,1436,1436,0,100
60710015031,Block Group 1; Census Tract 15.03; San Bernardino County; California,1808,1808,0,100
60710015032,Block Group 2; Census Tract 15.03; San Bernardino County; California,1943,1943,0,100
60710015041,Block Group 1; Census Tract 15.04; San Bernardino County; California,1608,1608,0,100
60710015042,Block Group 2; Census Tract 15.04; San Bernardino County; California,2138,2138,0,100
60710015043,Block Group 3; Census Tract 15.04; San Bernardino County; California,1799,1799,0,100
60710016001,Block Group 1; Census Tract 16; San Bernardino County; California,1053,1053,0,100
60710016002,Block Group 2; Census Tract 16; San Bernardino County; California,298,298,0,100
60710016003,Block Group 3; Census Tract 16; San Bernardino County; California,1298,1298,0,100
60710016004,Block Group 4; Census Tract 16; San Bernardino County; California,1259,1259,0,100
60710016005,Block Group 5; Census Tract 16; San Bernardino County; California,1381,1381,0,100
60710017021,Block Group 1; Census Tract 17.02; San Bernardino County; California,2233,2233,0,100
60710017022,Block Group 2; Census Tract 17.02; San Bernardino County; California,1407,1407,0,100
60710017023,Block Group 3; Census Tract 17.02; San Bernardino County; California,2134,2134,0,100
60710017031,Block Group 1; Census Tract 17.03; San Bernardino County; California,1325,1325,0,100
60710017032,Block Group 2; Census Tract 17.03; San Bernardino County; California,1546,1546,0,100
60710017033,Block Group 3; Census Tract 17.03; San Bernardino County; California,1594,1594,0,100
60710017034,Block Group 4; Census Tract 17.03; San Bernardino County; California,1013,1013,0,100
60710017041,Block Group 1; Census Tract 17.04; San Bernardino County; California,1146,1146,0,100
60710017042,Block Group 2; Census Tract 17.04; San Bernardino County; California,1464,1464,0,100
60710017043,Block Group 3; Census Tract 17.04; San Bernardino County; California,2476,2476,0,100
