GEOID,Longitude,Latitude,LST_Celsius,impervious
60133451021,-121.94918,37.74144579,38.53767123,0.0
60730117004,-117.1029962,32.67544218,33.24466667,0.0
60730118011,-117.1034838,32.67870233,35.1928125,0.0
60650456123,-115.8641305,33.47010543,41.38104478,0.0
60730118012,-117.1044965,32.68129257,35.1928125,0.0
60730117003,-117.1006702,32.67251556,33.24466667,0.0
60730118021,-117.0953082,32.68100613,37.40107692,0.0
60730118022,-117.0959358,32.68457102,37.40107692,0.0
60730119021,-117.0718027,32.6877017,40.080625,0.0
60871104011,-121.768965,36.90713906,38.53767123,0.0
60871105031,-121.7732022,36.9297873,38.53767123,0.0
60871217011,-121.9600092,36.97127274,38.53767123,0.0
60871209011,-122.0144113,37.08018548,38.53767123,0.0
60871216011,-121.9689061,36.9582564,38.53767123,0.0
60871217021,-121.9693221,36.97801558,38.53767123,0.0
60871103012,-121.7495477,36.9091111,38.53767123,0.0
60871101022,-121.7417902,36.91872175,38.53767123,0.0
60590627023,-117.8696743,33.59881165,32.23833333,0.0
61070041021,-119.0245258,36.04556994,44.34413333,0.0
60730101121,-117.0781634,32.56584534,36.3178125,0.0
60730101111,-117.0643919,32.56448102,36.375,0.0
60730103004,-117.116382,32.57932134,31.23733333,0.0
61070042002,-119.3084096,35.97612482,39.25805556,0.0
60730119022,-117.0800299,32.68759737,39.6421875,0.0
60730119024,-117.0843508,32.69159329,38.79955224,0.0
60730120021,-117.0835902,32.68013338,38.56,0.0
60730120022,-117.076401,32.68285405,39.3309375,0.0
60730120032,-117.0781567,32.67714473,39.3309375,0.0
60730121011,-117.0878571,32.66510343,37.22757576,0.0
60730121021,-117.0820929,32.66862027,38.02809524,0.0
60730121022,-117.0739203,32.67265871,38.73285714,0.0
60730122002,-117.0713787,32.66459689,37.435,0.0
60730123021,-117.080367,32.64076941,36.87205882,0.0
60730123031,-117.0741361,32.65189512,37.71246154,0.0
60730123032,-117.0809725,32.64896746,36.87205882,0.0
60730123041,-117.0768322,32.64215775,36.87205882,0.0
60730104021,-117.1056477,32.5746953,33.70538462,0.0
60730104022,-117.1080205,32.57092411,33.70538462,0.0
60730105011,-117.1261039,32.58550658,31.23733333,0.0
60730104011,-117.1072099,32.57939926,34.25646154,0.0
60730105021,-117.1085771,32.58627087,34.25646154,0.0
60730105022,-117.1110272,32.58307031,31.23733333,0.0
60730105023,-117.1142141,32.58549671,31.23733333,0.0
60730124011,-117.0888232,32.65402238,37.302,0.0
60730124012,-117.089823,32.64800261,36.87205882,0.0
