GEOID,Latitude,Longitude
060650457061,-116.172706503479,33.67359285973256
060650461011,-114.59253188362243,33.614062298350575
060650461012,-114.57950550209729,33.614304973851695
060650461021,-114.6099890104714,33.61378272021769
060650461031,-114.61026252199785,33.62468895383786
060650462001,-114.5967254288817,33.606723642112016
060310004032,-119.77128857799644,36.321393599045514
060816058002,-122.34137158801337,37.568056146506756
060590996022,-118.02009927950785,33.74763443095993
060590999063,-118.0396082540922,33.76301923494903
060650451203,-116.3014230249031,33.67594021920782
060310004033,-119.77611267393213,36.31483967613215
060816024001,-122.43187692389512,37.64228065168758
060319818001,-120.12070015687077,35.97042430863682
060590017052,-117.94452591368862,33.91140573709498
060590017053,-117.938951247969,33.90968829666593
060590017061,-117.93721197982318,33.895666747329884
060590017062,-117.93533128996782,33.885340078473654
060590017063,-117.94030372504031,33.88739824162822
060310005001,-119.71791102313257,36.34263219814685
060310005002,-119.7268783271756,36.32080827925833
060310005004,-119.72684918195328,36.306036349655244
060816024002,-122.43139379546452,37.63878407228732
060816025001,-122.45043085006803,37.63951214395949
060816025002,-122.45776776866467,37.64081656954567
060816065002,-122.32313797922212,37.554048964290764
060590110006,-117.95479791882798,33.87314440305251
060650464032,-117.2938209417763,33.61928591443312
060650464033,-117.30740475465562,33.620502460672675
060650464051,-117.2733880696325,33.615506551390816
060816072002,-122.29469121415947,37.53051973733134
060816073002,-122.30671632001419,37.53627770342254
060590111021,-117.93505271939634,33.86304191683925
060590111022,-117.93946469183595,33.86296795760997
060590111023,-117.93741806701173,33.85687800596493
060590112001,-117.93088813687682,33.87136175772463
060590114011,-117.9220515339571,33.88012732571059
060590114012,-117.91578245446401,33.87953806940893
060590114021,-117.90384181845488,33.87878406663894
060590114022,-117.90970525806662,33.88152934506918
060590114031,-117.90099349006418,33.87624320420873
060590114032,-117.90353471392642,33.86884703953813
060590115042,-117.8846595470737,33.88256164327027
060590115045,-117.88687699005915,33.8761671841263
060590116012,-117.92647234233944,33.86150974750473
060590116013,-117.92648827487163,33.85687184190564
060590116014,-117.9308166081636,33.855699935165724
060590116021,-117.89718038920634,33.86065819646173
060590116022,-117.91572078586249,33.86083686327843
060590117091,-117.85900621457482,33.90753941769058
060590117092,-117.86785701134946,33.90053815351776
060590117093,-117.85939180450853,33.90011607879413
060590117101,-117.86768968252451,33.89319344661644
060590117102,-117.85902180293564,33.89182812838764
060590117111,-117.86498997209819,33.88420383797166
060590117201,-117.87870808422207,33.85308081875291
060590117202,-117.87288342030689,33.85998508758093
060590117203,-117.88022649941139,33.85571133543218
060590117211,-117.87683009497123,33.871760170137435
060590117213,-117.8672380482694,33.870118738020196
060590218071,-117.78361459567546,33.861125719082935
060590218072,-117.75983370133208,33.873703934243224
060590218091,-117.8346139469496,33.89199951750058
060590218092,-117.83678773117603,33.89829510571768
060590218222,-117.79024731165336,33.89803740644537
060816027001,-122.47619237560558,37.656511988493335
060816027002,-122.47526215167171,37.65414991089661
060816027003,-122.47615088899998,37.64911611071406
060816028001,-122.48794860475287,37.65981326918371
060590218123,-117.79435921769944,33.865241852074895
060590218124,-117.80664578339201,33.870098274787715
060590218141,-117.86951617942583,33.92185133258323
060590218142,-117.87667195190554,33.92106338306985
060590218143,-117.8553963498942,33.920975265933286
060590218144,-117.86565044570044,33.914533422352285
060310007012,-119.6416312031236,36.353427957358406
060310007013,-119.6415052198969,36.34610905114169
060310007021,-119.62923309304203,36.3538958567195
060310007022,-119.6193218615256,36.34719195176855
060816028003,-122.48397729542909,37.65521186441762
060816065003,-122.33079274341715,37.553282397055334
060816065004,-122.33629555897387,37.550897175896424
060816066002,-122.31640437478711,37.551176180956396
060816066003,-122.32125814264303,37.55244282789343
060816067001,-122.32820299861406,37.545959419296885
060816067002,-122.32250963066963,37.53938041243774
060590218281,-117.71454338662168,33.88573695953289
060590218282,-117.71524704808759,33.87722228021398
060590218283,-117.69702659200587,33.88267093227586
060590218291,-117.78371111539853,33.88569896579197
060590218293,-117.77983126550258,33.87699379714699
060650452091,-116.23812508399284,33.72974507640059
060590320122,-117.66788391727636,33.586860719068525
060590320123,-117.66242269849046,33.58645475224396
060590320132,-117.66417910075624,33.57826995447867
060650452092,-116.2382041867595,33.718450174525366
060650453021,-116.22557043275233,33.73601187133802
060590320312,-117.65037327994696,33.64368360515499
060590631011,-117.88544574358326,33.66461092953299
060590631021,-117.89088441041916,33.66089282362193
060590631023,-117.89808543410075,33.65646072202475
060590631031,-117.8982996388231,33.64598631068643
060590631032,-117.90231633818735,33.640523741326604
060590632011,-117.90085865740153,33.653674014725844
060590632012,-117.90357810838911,33.65085234397376
060590632021,-117.91088484909343,33.64683342718912
060590632022,-117.91182597071207,33.642429064011665
060590632023,-117.90509053074706,33.63773214197796
060590632024,-117.9079689520109,33.6442197691785
060590633011,-117.91762136603607,33.63937120875395
060590633012,-117.91425465159838,33.637023391996394
060590633023,-117.92011155899189,33.62928999458311
060590633024,-117.91341247596495,33.62935778933835
060590634001,-117.9154928912495,33.62385415472428
060590634002,-117.92054865060305,33.62457515787918
060650453031,-116.21013352488949,33.72905808432401
060816030002,-122.48713081304577,37.6325517829921
060816030003,-122.49133188878034,37.63063162198244
060816030004,-122.49485877544406,37.63762637216764
060310011002,-119.6434548528823,36.318289041807816
060310011004,-119.64268060512251,36.30622640364667
060375417001,-118.20616521871075,33.92162573992112
060375417005,-118.19930638690384,33.91843028675591
060371417001,-118.42743785832796,34.142180017660856
060371031011,-118.30749693970512,34.27390690383171
060375418023,-118.18355323599732,33.90981096255241
060375420001,-118.20127968696967,33.907503750900915
060375420002,-118.20301455172758,33.901468247550085
060816037001,-122.45340502599699,37.635502759780664
060816037002,-122.44402284186235,37.630034185197744
060816039002,-122.40870989604123,37.61415132694018
060816040001,-122.41649739660762,37.62494200206841
060816040002,-122.42022873850743,37.623565278088
060816040003,-122.42436977566449,37.62209868042858
060816044001,-122.4014546807841,37.61041721865883
060816044003,-122.39204445552106,37.60255072114994
060590993112,-118.00379407834146,33.66222060059874
060590889023,-117.9398535073824,33.763260236928694
060816029002,-122.48670108672492,37.648075875566235
060590634004,-117.92568146697955,33.624990689616205
060590634005,-117.91538554531046,33.61678239275975
060590635001,-117.93932779344058,33.61599374546702
060590320381,-117.64283560634306,33.59738618143503
060590320383,-117.65364038998291,33.591126228082004
060310008001,-119.63097148337135,36.34011657871088
060310008002,-119.62797827042476,36.334128384451894
060310008003,-119.61164268388524,36.32838264519293
060310008004,-119.62981581091917,36.32250480920374
060816049002,-122.40354498079478,37.58596776197541
060816050001,-122.38448030408368,37.5927975953807
060590320391,-117.64378303482064,33.5849416328599
060590320392,-117.6475013734834,33.578090340015585
060816050002,-122.38023700473067,37.58898716491209
