Median_Household_Income,Population_Below_Poverty,High_School_Diploma_25plus,Bachelors_Degree_25plus,Unemployment,Median_Housing_Value,Median_Gross_Rent,Renter_Occupied_Housing_Units,Total_Population,Median_Age,Per_Capita_Income,Families_Below_Poverty,State,County,Tract,Block Group,year
31186.0,,191.0,74.0,115.0,119500.0,1006.0,312.0,1125.0,27.9,17259.0,97.0,6,71,3302,4,2013
31941.0,,152.0,67.0,77.0,184200.0,1156.0,285.0,2354.0,27.8,23534.0,187.0,6,71,3101,2,2013
76366.0,,250.0,108.0,125.0,44500.0,-666666666.0,13.0,1203.0,41.2,32377.0,34.0,6,71,8706,5,2013
54115.0,,98.0,103.0,6.0,413000.0,1508.0,64.0,807.0,39.1,25961.0,34.0,6,71,11204,3,2013
42344.0,,51.0,72.0,30.0,198700.0,1152.0,126.0,653.0,37.9,42165.0,38.0,6,71,11204,2,2013
61215.0,,92.0,100.0,9.0,370900.0,1255.0,102.0,458.0,58.8,38482.0,19.0,6,71,11401,3,2013
56429.0,,208.0,31.0,29.0,197800.0,1030.0,199.0,1136.0,39.0,21072.0,21.0,6,71,11401,1,2013
23141.0,,144.0,32.0,110.0,161100.0,905.0,284.0,1204.0,32.4,11370.0,62.0,6,71,11205,2,2013
60880.0,,128.0,78.0,18.0,169900.0,-666666666.0,38.0,927.0,28.5,24360.0,56.0,6,71,10803,3,2013
40417.0,,30.0,61.0,27.0,222000.0,575.0,67.0,374.0,56.4,35657.0,17.0,6,71,10803,1,2013
53333.0,,113.0,39.0,100.0,239100.0,1366.0,89.0,778.0,51.2,22079.0,32.0,6,71,10803,2,2013
92500.0,,323.0,530.0,261.0,345600.0,1693.0,211.0,3629.0,34.8,27372.0,39.0,6,71,1311,1,2013
54667.0,,564.0,133.0,297.0,135800.0,1072.0,258.0,3208.0,40.8,19922.0,128.0,6,71,10023,2,2013
34097.0,,209.0,13.0,32.0,49500.0,734.0,175.0,1051.0,30.5,17804.0,28.0,6,71,10300,1,2013
45547.0,,112.0,34.0,47.0,124700.0,733.0,52.0,611.0,55.2,22501.0,25.0,6,71,10300,3,2013
38125.0,,195.0,122.0,138.0,341300.0,1482.0,95.0,635.0,56.0,33631.0,0.0,6,71,11300,1,2013
109125.0,,195.0,86.0,52.0,495300.0,1458.0,54.0,1207.0,39.1,39560.0,0.0,6,71,103,1,2013
105592.0,,91.0,194.0,78.0,521900.0,2001.0,113.0,1397.0,37.0,38466.0,38.0,6,71,103,2,2013
40556.0,,226.0,96.0,83.0,242200.0,1052.0,126.0,1388.0,40.8,22436.0,58.0,6,71,1200,3,2013
80152.0,,81.0,60.0,10.0,302100.0,2001.0,80.0,767.0,45.9,31889.0,0.0,6,71,1200,4,2013
65125.0,,206.0,4.0,148.0,150500.0,-666666666.0,28.0,1377.0,41.0,15353.0,38.0,6,71,3403,1,2013
42537.0,,323.0,45.0,195.0,164800.0,1020.0,158.0,2148.0,27.6,12294.0,80.0,6,71,3403,2,2013
29402.0,,116.0,17.0,12.0,135100.0,-666666666.0,20.0,655.0,47.1,16949.0,27.0,6,71,8901,2,2013
38750.0,,184.0,120.0,62.0,139600.0,727.0,191.0,1252.0,33.5,21300.0,49.0,6,71,9300,1,2013
41661.0,,484.0,109.0,100.0,150900.0,1329.0,67.0,2135.0,40.2,17612.0,96.0,6,71,10021,3,2013
50028.0,,623.0,154.0,464.0,165600.0,1343.0,201.0,3153.0,27.5,14520.0,89.0,6,71,10021,1,2013
85496.0,,1285.0,709.0,338.0,288500.0,1904.0,104.0,7899.0,34.4,19837.0,182.0,6,71,2601,2,2013
24474.0,,120.0,0.0,54.0,-666666666.0,870.0,260.0,950.0,19.9,8432.0,91.0,6,71,3506,1,2013
50921.0,,106.0,17.0,124.0,145800.0,646.0,92.0,2692.0,22.0,11691.0,32.0,6,71,3506,3,2013
35313.0,,393.0,109.0,77.0,155800.0,1076.0,95.0,1595.0,32.6,21562.0,79.0,6,71,3506,2,2013
35000.0,,85.0,75.0,114.0,192400.0,1652.0,39.0,1159.0,23.3,11867.0,67.0,6,71,2306,1,2013
43971.0,,216.0,92.0,210.0,162800.0,916.0,242.0,2391.0,26.5,14643.0,161.0,6,71,3509,2,2013
48935.0,,213.0,21.0,148.0,207800.0,1257.0,74.0,1359.0,27.8,12466.0,23.0,6,71,3404,2,2013
40714.0,,129.0,147.0,15.0,220100.0,969.0,289.0,1165.0,30.7,27429.0,0.0,6,71,9201,2,2013
65595.0,,225.0,304.0,78.0,265600.0,1161.0,102.0,1400.0,48.4,33772.0,0.0,6,71,9201,1,2013
35526.0,,879.0,129.0,223.0,69500.0,439.0,219.0,2814.0,39.4,11952.0,152.0,6,71,12104,1,2013
54821.0,,584.0,161.0,195.0,153500.0,1284.0,165.0,3199.0,40.2,22220.0,151.0,6,71,12104,2,2013
24375.0,,196.0,32.0,100.0,16300.0,713.0,145.0,965.0,37.0,16303.0,63.0,6,71,8709,3,2013
36301.0,,127.0,106.0,47.0,163000.0,1535.0,80.0,760.0,45.0,19741.0,42.0,6,71,8709,1,2013
34063.0,,239.0,9.0,54.0,22400.0,903.0,213.0,1219.0,36.3,14287.0,75.0,6,71,8709,2,2013
53194.0,,308.0,95.0,130.0,158000.0,1027.0,216.0,1501.0,32.4,17607.0,23.0,6,71,8709,4,2013
43281.0,,394.0,27.0,206.0,38400.0,958.0,180.0,2664.0,26.5,14840.0,101.0,6,71,1809,2,2013
43594.0,,53.0,47.0,22.0,-666666666.0,1155.0,387.0,704.0,30.4,41616.0,13.0,6,71,2109,2,2013
58833.0,,404.0,551.0,277.0,196300.0,1394.0,1233.0,3828.0,29.7,26043.0,31.0,6,71,2109,1,2013
49961.0,,299.0,313.0,237.0,133000.0,1303.0,322.0,2912.0,27.5,18342.0,87.0,6,71,9908,1,2013
51174.0,,333.0,161.0,133.0,122400.0,1434.0,122.0,2074.0,33.1,20179.0,57.0,6,71,9908,2,2013
67614.0,,231.0,15.0,260.0,119700.0,1399.0,95.0,1853.0,37.2,19342.0,25.0,6,71,9910,1,2013
56457.0,,440.0,38.0,299.0,117200.0,1118.0,218.0,3000.0,35.1,18917.0,68.0,6,71,9910,2,2013
67540.0,,1328.0,261.0,403.0,152500.0,1408.0,407.0,8571.0,25.8,21689.0,107.0,6,71,9118,3,2013
41649.0,,1327.0,321.0,577.0,155300.0,1400.0,681.0,10227.0,20.7,14129.0,635.0,6,71,9118,2,2013
117569.0,,250.0,676.0,173.0,551600.0,2001.0,311.0,4075.0,37.2,40409.0,0.0,6,71,116,2,2013
39722.0,,272.0,57.0,171.0,213100.0,1352.0,225.0,1568.0,30.0,13435.0,171.0,6,71,3803,1,2013
25074.0,,157.0,25.0,16.0,113100.0,1008.0,98.0,740.0,51.0,18572.0,0.0,6,71,4302,2,2013
41398.0,,319.0,31.0,24.0,113800.0,917.0,123.0,1989.0,31.5,17314.0,80.0,6,71,4302,3,2013
136938.0,,132.0,238.0,19.0,569300.0,-666666666.0,0.0,1113.0,44.4,43686.0,0.0,6,71,116,3,2013
50982.0,,435.0,42.0,37.0,170900.0,1341.0,310.0,2509.0,19.8,12556.0,27.0,6,71,3609,2,2013
74107.0,,346.0,203.0,90.0,245200.0,1330.0,107.0,2098.0,26.1,20128.0,19.0,6,71,2706,3,2013
206678.0,,230.0,284.0,99.0,985600.0,2001.0,111.0,2121.0,31.9,117604.0,0.0,6,71,2021,1,2013
146583.0,,482.0,540.0,187.0,585400.0,-666666666.0,41.0,4689.0,37.2,43065.0,29.0,6,71,2022,1,2013
93500.0,,399.0,222.0,124.0,316100.0,1260.0,114.0,3554.0,32.4,17041.0,25.0,6,71,2706,1,2013
91207.0,,250.0,73.0,242.0,199400.0,1141.0,45.0,1862.0,38.8,23085.0,61.0,6,71,9119,1,2013
50990.0,,314.0,108.0,235.0,205700.0,-666666666.0,91.0,2236.0,38.2,19115.0,76.0,6,71,9119,3,2013
45813.0,,294.0,107.0,94.0,110800.0,-666666666.0,92.0,1185.0,45.5,28088.0,0.0,6,71,9109,4,2013
59071.0,,329.0,249.0,50.0,210400.0,783.0,255.0,2049.0,36.9,25333.0,54.0,6,71,9109,1,2013
41215.0,,331.0,0.0,112.0,119800.0,699.0,126.0,968.0,47.4,19276.0,0.0,6,71,9109,3,2013
92273.0,,48.0,164.0,81.0,564400.0,-666666666.0,0.0,662.0,53.8,47585.0,7.0,6,71,814,1,2013
117895.0,,9.0,63.0,36.0,498800.0,-666666666.0,0.0,635.0,49.6,44446.0,0.0,6,71,814,3,2013
51528.0,,83.0,29.0,37.0,167200.0,1107.0,33.0,639.0,38.9,25456.0,8.0,6,71,4604,3,2013
31419.0,,216.0,103.0,154.0,116300.0,1365.0,219.0,1781.0,23.0,11725.0,137.0,6,71,4604,4,2013
26583.0,,108.0,79.0,228.0,42400.0,1110.0,96.0,2233.0,21.3,8339.0,149.0,6,71,4404,1,2013
32312.0,,346.0,105.0,213.0,43000.0,623.0,261.0,2805.0,25.2,10258.0,138.0,6,71,4404,3,2013
61406.0,,235.0,14.0,117.0,164400.0,-666666666.0,19.0,1454.0,26.9,19438.0,45.0,6,71,4403,1,2013
75968.0,,129.0,112.0,93.0,137500.0,-666666666.0,0.0,776.0,39.7,23450.0,46.0,6,71,4403,2,2013
60662.0,,235.0,173.0,0.0,278300.0,1331.0,71.0,1411.0,37.8,26231.0,18.0,6,71,826,1,2013
77686.0,,280.0,53.0,135.0,290700.0,1092.0,341.0,1450.0,35.4,22497.0,30.0,6,71,826,2,2013
58393.0,,180.0,158.0,5.0,263800.0,-666666666.0,22.0,1158.0,40.2,20713.0,37.0,6,71,203,3,2013
140804.0,,111.0,485.0,101.0,521500.0,-666666666.0,18.0,2128.0,34.4,38288.0,31.0,6,71,116,1,2013
107188.0,,294.0,381.0,77.0,480600.0,2001.0,224.0,3035.0,33.2,33969.0,0.0,6,71,819,2,2013
141800.0,,396.0,283.0,119.0,460600.0,-666666666.0,0.0,1821.0,48.8,45149.0,23.0,6,71,2014,1,2013
72361.0,,295.0,69.0,15.0,375700.0,-666666666.0,0.0,2263.0,36.9,6312.0,0.0,6,71,1903,2,2013
93598.0,,1156.0,1466.0,489.0,328800.0,2001.0,456.0,9983.0,30.9,25834.0,108.0,6,71,2304,2,2013
100396.0,,509.0,461.0,92.0,281000.0,2001.0,70.0,4221.0,31.3,29431.0,0.0,6,71,2304,1,2013
29318.0,,135.0,29.0,136.0,85000.0,-666666666.0,63.0,1133.0,22.7,10331.0,109.0,6,71,2305,3,2013
91578.0,,290.0,234.0,33.0,314100.0,-666666666.0,29.0,1653.0,29.7,21384.0,16.0,6,71,2305,2,2013
97014.0,,367.0,444.0,373.0,299000.0,2001.0,126.0,3096.0,32.2,25507.0,16.0,6,71,2038,1,2013
82009.0,,435.0,357.0,491.0,333500.0,2001.0,90.0,2531.0,26.9,24848.0,0.0,6,71,2038,2,2013
91972.0,,470.0,571.0,430.0,277000.0,1932.0,226.0,5491.0,26.0,25417.0,52.0,6,71,2037,3,2013
101316.0,,131.0,204.0,274.0,279300.0,-666666666.0,15.0,2342.0,30.5,21237.0,0.0,6,71,2037,2,2013
46731.0,,185.0,149.0,176.0,157000.0,1316.0,193.0,1519.0,32.1,19641.0,46.0,6,71,2107,3,2013
32055.0,,265.0,23.0,229.0,314700.0,1147.0,371.0,2182.0,25.2,8796.0,146.0,6,71,1503,2,2013
49470.0,,170.0,90.0,141.0,231300.0,1279.0,151.0,1361.0,33.5,19402.0,45.0,6,71,1103,3,2013
62500.0,,206.0,117.0,77.0,290000.0,1080.0,127.0,1569.0,35.5,25402.0,57.0,6,71,1103,1,2013
45147.0,,291.0,17.0,127.0,221600.0,973.0,186.0,2051.0,23.6,12452.0,133.0,6,71,1501,2,2013
28952.0,,274.0,50.0,85.0,191900.0,1062.0,301.0,1829.0,25.8,10297.0,166.0,6,71,1501,1,2013
41908.0,,130.0,30.0,112.0,186000.0,1170.0,52.0,1414.0,28.4,10779.0,27.0,6,71,1310,3,2013
43262.0,,194.0,8.0,54.0,217900.0,-666666666.0,39.0,701.0,37.4,18440.0,11.0,6,71,1310,4,2013
41970.0,,197.0,19.0,22.0,-666666666.0,1118.0,258.0,1363.0,28.0,10610.0,78.0,6,71,1305,3,2013
37383.0,,165.0,52.0,174.0,206000.0,893.0,200.0,1936.0,24.5,12732.0,114.0,6,71,1305,2,2013
51994.0,,150.0,66.0,220.0,250000.0,1424.0,405.0,1648.0,22.8,21717.0,105.0,6,71,1309,3,2013
82639.0,,69.0,173.0,53.0,264200.0,1305.0,50.0,995.0,45.4,37325.0,42.0,6,71,11002,1,2013
39583.0,,35.0,118.0,26.0,237900.0,1032.0,116.0,633.0,45.7,25973.0,0.0,6,71,11002,2,2013
54583.0,,187.0,73.0,34.0,172100.0,922.0,104.0,1035.0,51.5,26806.0,34.0,6,71,10804,1,2013
21169.0,,87.0,54.0,0.0,230800.0,-666666666.0,27.0,624.0,31.9,14404.0,39.0,6,71,10804,3,2013
77870.0,,24.0,20.0,0.0,354200.0,-666666666.0,0.0,442.0,58.0,34578.0,0.0,6,71,10902,3,2013
50032.0,,622.0,87.0,207.0,82500.0,1123.0,424.0,3062.0,37.3,21671.0,131.0,6,71,12002,4,2013
72943.0,,66.0,15.0,81.0,-666666666.0,1458.0,124.0,480.0,29.6,23718.0,45.0,6,71,12002,1,2013
31705.0,,156.0,8.0,39.0,138100.0,651.0,161.0,1050.0,41.3,19766.0,16.0,6,71,12002,2,2013
34315.0,,415.0,214.0,57.0,75000.0,964.0,673.0,1968.0,39.0,22328.0,25.0,6,71,2107,2,2013
122917.0,,195.0,278.0,172.0,444500.0,-666666666.0,33.0,1954.0,41.8,39463.0,5.0,6,71,2019,1,2013
41063.0,,344.0,38.0,82.0,93400.0,1094.0,350.0,1857.0,26.7,14922.0,118.0,6,71,4507,2,2013
46528.0,,36.0,72.0,158.0,271900.0,1574.0,64.0,2081.0,20.0,9048.0,0.0,6,71,4510,1,2013
51429.0,,179.0,93.0,131.0,172300.0,1345.0,295.0,1622.0,23.0,15711.0,20.0,6,71,4510,2,2013
72375.0,,47.0,46.0,14.0,333000.0,-666666666.0,53.0,662.0,41.1,34467.0,19.0,6,71,10902,4,2013
42813.0,,25.0,97.0,0.0,275400.0,-666666666.0,50.0,387.0,56.2,23137.0,17.0,6,71,10902,5,2013
75658.0,,159.0,175.0,18.0,268900.0,-666666666.0,29.0,488.0,59.5,38037.0,0.0,6,71,10902,2,2013
50982.0,,222.0,49.0,89.0,152000.0,1013.0,208.0,2147.0,25.8,13068.0,142.0,6,71,4507,3,2013
32117.0,,217.0,34.0,74.0,74800.0,961.0,253.0,1205.0,26.2,11566.0,112.0,6,71,4507,1,2013
48750.0,,115.0,130.0,214.0,223100.0,1095.0,466.0,1774.0,28.8,15958.0,77.0,6,71,1400,2,2013
56563.0,,754.0,66.0,424.0,192100.0,1195.0,265.0,3674.0,30.4,15866.0,95.0,6,71,2204,3,2013
61853.0,,98.0,91.0,22.0,293200.0,1453.0,72.0,533.0,52.7,35596.0,14.0,6,71,11500,1,2013
46747.0,,579.0,107.0,143.0,69800.0,1250.0,384.0,2576.0,40.2,23210.0,9.0,6,71,1803,1,2013
56976.0,,241.0,98.0,120.0,180600.0,1843.0,95.0,1386.0,32.7,17681.0,33.0,6,71,2602,4,2013
87639.0,,348.0,111.0,292.0,218200.0,1468.0,69.0,1875.0,33.1,24271.0,0.0,6,71,2602,1,2013
48125.0,,151.0,21.0,97.0,174600.0,1161.0,55.0,1017.0,33.2,14481.0,35.0,6,71,2901,1,2013
48846.0,,34.0,21.0,85.0,156500.0,923.0,31.0,932.0,27.8,13103.0,47.0,6,71,2901,3,2013
50912.0,,254.0,56.0,45.0,152900.0,-666666666.0,20.0,1400.0,28.2,12584.0,27.0,6,71,2902,1,2013
70443.0,,178.0,5.0,66.0,195300.0,-666666666.0,16.0,838.0,34.2,19152.0,37.0,6,71,2902,4,2013
28882.0,,250.0,40.0,79.0,156300.0,849.0,412.0,1460.0,42.4,15075.0,18.0,6,71,2902,2,2013
62150.0,,408.0,205.0,229.0,96400.0,1342.0,328.0,3765.0,21.4,15311.0,111.0,6,71,9114,2,2013
57344.0,,919.0,164.0,506.0,98400.0,1243.0,509.0,6705.0,22.8,12592.0,274.0,6,71,9114,1,2013
20417.0,,180.0,71.0,59.0,-666666666.0,1072.0,427.0,1439.0,34.5,10800.0,209.0,6,71,7305,2,2013
48995.0,,387.0,456.0,180.0,191600.0,1016.0,682.0,2826.0,31.1,17860.0,41.0,6,71,7305,1,2013
66176.0,,194.0,117.0,51.0,179700.0,874.0,132.0,1451.0,31.4,29938.0,14.0,6,71,4505,1,2013
40496.0,,100.0,50.0,195.0,181100.0,1136.0,129.0,1258.0,36.2,19999.0,5.0,6,71,4505,2,2013
71853.0,,53.0,24.0,58.0,257000.0,735.0,99.0,849.0,27.9,21739.0,38.0,6,71,4603,2,2013
